test_season,W,L,P,hit_rate,n_games,model_log_loss,baseline_hit_rate
2020,126,125,5,0.50199203187251,251,0.7643338579204058,0.5378486055776892
2021,135,130,7,0.5094339622641509,265,0.7330945129037331,0.5433962264150943
2022,133,134,4,0.49812734082397003,267,0.7423859453810119,0.5655430711610487
2023,151,117,4,0.5634328358208955,268,0.6890592681496308,0.6007462686567164
2024,146,126,0,0.5367647058823529,272,0.68704656162047,0.5588235294117647
2025,122,146,4,0.4552238805970149,268,0.747864840375926,0.5559701492537313
