test_season,W,L,P,hit_rate,n_games,model_log_loss,baseline_hit_rate
2020,119,137,0,0.46484375,256,0.7518665269243783,0.49609375
2021,148,120,4,0.5522388059701493,268,0.6887221748143239,0.48134328358208955
2022,126,135,10,0.4827586206896552,261,0.7458571228755093,0.4942528735632184
2023,133,125,14,0.5155038759689923,258,0.7441271678502208,0.49612403100775193
2024,126,142,4,0.4701492537313433,268,0.7629860801512095,0.5111940298507462
2025,120,151,1,0.44280442804428044,271,0.7429604060499966,0.4981549815498155
