test_season,W,L,P,hit_rate,n_games,model_log_loss,baseline_hit_rate
2019,116,130,10,0.4715447154471545,246,0.7732266677412393,0.43089430894308944
2020,134,122,0,0.5234375,256,0.7302938436624159,0.49609375
2021,134,134,4,0.5,268,0.7211040898579797,0.48134328358208955
2022,137,124,10,0.524904214559387,261,0.7225458435435405,0.4942528735632184
2023,120,138,14,0.46511627906976744,258,0.7422699672456766,0.49612403100775193
2024,132,136,4,0.4925373134328358,268,0.7476182662854542,0.5111940298507462
