test_season,W,L,P,hit_rate,n_games,model_log_loss,baseline_hit_rate
2019,119,127,10,0.483739837398374,246,0.7440224289894104,0.43089430894308944
2020,135,121,0,0.52734375,256,0.7185660004615784,0.49609375
2021,132,136,4,0.4925373134328358,268,0.7440471649169922,0.48134328358208955
2022,130,131,10,0.49808429118773945,261,0.7132675051689148,0.4942528735632184
2023,117,141,14,0.45348837209302323,258,0.7432368993759155,0.49612403100775193
2024,148,120,4,0.5522388059701493,268,0.7106592059135437,0.5111940298507462
2025,129,142,1,0.47601476014760147,271,0.7523109912872314,0.4981549815498155
