game_id,season,week,home_team,away_team,home_spread_close,predicted_home_cover_prob,predicted_side,actual_home_covered,correct,ol_mismatch_flag,fold
2026_01_ARI_LAC,2026,1,LAC,ARI,9.5,0.56059825,home,,,0,0
2026_01_ATL_PIT,2026,1,PIT,ATL,3.5,0.47557828,away,,,0,0
2026_01_BAL_IND,2026,1,IND,BAL,-3.5,0.51129,home,,,0,0
2026_01_BUF_HOU,2026,1,HOU,BUF,-1.5,0.4304092,away,,,0,0
2026_01_CHI_CAR,2026,1,CAR,CHI,-3.0,0.5170931,home,,,0,0
2026_01_CLE_JAX,2026,1,JAX,CLE,8.5,0.51367736,home,,,0,0
2026_01_DAL_NYG,2026,1,NYG,DAL,-3.0,0.5506885,home,,,0,0
2026_01_DEN_KC,2026,1,KC,DEN,2.5,0.4482655,away,,,0,0
2026_01_GB_MIN,2026,1,MIN,GB,1.5,0.5602745,home,,,0,0
2026_01_MIA_LV,2026,1,LV,MIA,3.5,0.49501848,away,,,0,0
2026_01_NE_SEA,2026,1,SEA,NE,3.0,0.44933182,away,,,0,0
2026_01_NO_DET,2026,1,DET,NO,7.0,0.42982808,away,,,0,0
2026_01_NYJ_TEN,2026,1,TEN,NYJ,1.5,0.4614276,away,,,0,0
2026_01_SF_LA,2026,1,LA,SF,3.5,0.46143374,away,,,0,0
2026_01_TB_CIN,2026,1,CIN,TB,3.5,0.52983665,home,,,0,0
2026_01_WAS_PHI,2026,1,PHI,WAS,5.5,0.3458396,away,,,0,0
