test_season,W,L,P,hit_rate,n_games,model_log_loss,baseline_hit_rate
2019,21,22,5,0.4883720930232558,43,0.7195005364492582,0.4418604651162791
2020,21,27,0,0.4375,48,0.9099333243512945,0.5625
2021,31,31,2,0.5,62,0.7531701547413965,0.6129032258064516
2022,33,27,3,0.55,60,0.7156121671349891,0.4666666666666667
2023,27,33,4,0.45,60,0.8269053577236831,0.55
2024,40,24,0,0.625,64,0.6719711390952895,0.59375
2025,20,44,0,0.3125,64,1.0006834547073251,0.484375
