test_season,W,L,P,hit_rate,n_games,model_log_loss,baseline_hit_rate
2020,140,116,0,0.546875,256,0.7227113229131354,0.49609375
2021,135,133,4,0.503731343283582,268,0.731994543219548,0.48134328358208955
2022,130,131,10,0.49808429118773945,261,0.717102394759684,0.4942528735632184
2023,128,130,14,0.49612403100775193,258,0.7238273853314758,0.49612403100775193
2024,128,140,4,0.47761194029850745,268,0.7588174259767403,0.5111940298507462
2025,147,124,1,0.5424354243542435,271,0.6995575941972095,0.4981549815498155
