test_season,W,L,P,hit_rate,n_games,model_log_loss,baseline_hit_rate
2019,116,130,10,0.4715447154471545,246,0.767641544342041,0.43089430894308944
2020,138,118,0,0.5390625,256,0.7233225703239441,0.49609375
2021,137,131,4,0.5111940298507462,268,0.7154902815818787,0.48134328358208955
2022,140,121,10,0.5363984674329502,261,0.7239857912063599,0.4942528735632184
2023,124,134,14,0.4806201550387597,258,0.7509395480155945,0.49612403100775193
2024,134,134,4,0.5,268,0.7524013519287109,0.5111940298507462
2025,130,141,1,0.4797047970479705,271,0.7405919432640076,0.4981549815498155
