test_season,W,L,P,hit_rate,n_games,model_log_loss,baseline_hit_rate
2019,174,80,2,0.6850393700787402,254,0.6249739444032409,0.547244094488189
2020,183,68,5,0.7290836653386454,251,0.5618684541848111,0.5378486055776892
2021,173,92,7,0.6528301886792452,265,0.5941274358803983,0.5433962264150943
2022,178,89,4,0.6666666666666666,267,0.614669357201702,0.5655430711610487
2023,168,100,4,0.6268656716417911,268,0.6502069355644597,0.6007462686567164
2024,208,64,0,0.7647058823529411,272,0.5141455173576965,0.5588235294117647
