test_season,W,L,P,hit_rate,n_games,model_log_loss,baseline_hit_rate
2019,113,133,10,0.45934959349593496,246,0.745427668094635,0.43089430894308944
2020,126,130,0,0.4921875,256,0.7251825332641602,0.49609375
2021,135,133,4,0.503731343283582,268,0.723426342010498,0.48134328358208955
2022,129,132,10,0.4942528735632184,261,0.7203092575073242,0.4942528735632184
2023,129,129,14,0.5,258,0.7427364587783813,0.49612403100775193
2024,143,125,4,0.5335820895522388,268,0.7001088857650757,0.5111940298507462
2025,132,139,1,0.4870848708487085,271,0.7531244158744812,0.4981549815498155
