test_season,W,L,P,hit_rate,n_games,model_log_loss,baseline_hit_rate
2019,116,130,10,0.4715447154471545,246,0.7732273744386198,0.43089430894308944
2020,121,135,0,0.47265625,256,0.740227570935637,0.49609375
2021,139,129,4,0.5186567164179104,268,0.712765398315636,0.48134328358208955
2022,130,131,10,0.49808429118773945,261,0.7519822160124119,0.4942528735632184
2023,122,136,14,0.4728682170542636,258,0.7343717385883998,0.49612403100775193
2024,130,138,4,0.48507462686567165,268,0.7507603894015596,0.5111940298507462
