test_season,W,L,P,hit_rate,n_games,model_log_loss,baseline_hit_rate
2019,125,121,10,0.508130081300813,246,0.747923731803894,0.43089430894308944
2020,127,129,0,0.49609375,256,0.7271415591239929,0.49609375
2021,124,144,4,0.4626865671641791,268,0.7399381399154663,0.48134328358208955
2022,129,132,10,0.4942528735632184,261,0.704500138759613,0.4942528735632184
2023,127,131,14,0.49224806201550386,258,0.7277752757072449,0.49612403100775193
2024,121,147,4,0.45149253731343286,268,0.7559055089950562,0.5111940298507462
2025,129,142,1,0.47601476014760147,271,0.7493311166763306,0.4981549815498155
