test_season,W,L,P,hit_rate,n_games,model_log_loss,baseline_hit_rate
2019,41,51,4,0.44565217391304346,92,0.782673322717278,0.391304347826087
2020,39,57,0,0.40625,96,0.8347005504823745,0.53125
2021,49,44,3,0.5268817204301075,93,0.7315924024785923,0.4838709677419355
2022,40,55,1,0.42105263157894735,95,0.8075808535619677,0.45263157894736844
2023,47,46,3,0.5053763440860215,93,0.7511478449676826,0.46236559139784944
2024,47,47,2,0.5,94,0.749161765604524,0.5
2025,53,43,0,0.5520833333333334,96,0.7667886046517202,0.5
