game_id,cluster,dominant_families
2026_02_GB_NYJ,1,"['QB', 'form']"
2026_02_NO_BAL,1,"['QB', 'form']"
2026_02_PHI_TEN,1,"['QB', 'form']"
2026_02_CLE_TB,2,"['OL pass protection', 'defence pass rush']"
2026_02_MIA_SF,2,"['OL pass protection', 'defence pass rush']"
2026_02_MIN_CHI,2,"['OL pass protection', 'defence pass rush']"
2026_02_NYG_LA,2,"['OL pass protection', 'defence pass rush']"
2026_02_WAS_DAL,2,"['OL pass protection', 'defence pass rush']"
2026_02_CIN_HOU,3,"['coverage/defence other', 'record/margin']"
2026_02_SEA_ARI,3,"['coverage/defence other', 'record/margin']"
2026_02_CAR_ATL,4,"['QB', 'OL pass protection']"
2026_02_IND_KC,4,"['QB', 'OL pass protection']"
2026_02_JAX_DEN,4,"['QB', 'OL pass protection']"
2026_02_LV_LAC,4,"['QB', 'OL pass protection']"
2026_02_PIT_NE,4,"['QB', 'OL pass protection']"
2026_02_DET_BUF,5,"['defence pass rush', 'QB']"
