family,n_games,corr_with_closing_spread
record/margin,16,0.7013167412219307
OL pass protection,16,0.44631358737971893
coverage/defence other,16,-0.38490747802814723
defence pass rush,16,0.2396734104108652
weather,16,0.18241774737228825
OL run blocking,16,0.18042833572973632
form,16,-0.1661746597748407
venue/context,16,0.15497326074383863
QB,16,0.09835477549790991
run game,16,-0.09268852877568788
defence run,16,-0.02384217436768445
rest,16,-0.001928721580311567
