game_id,season,week,home_team,away_team,home_spread_close,predicted_home_cover_prob,predicted_side,actual_home_covered,correct,ol_mismatch_flag,fold
2026_01_ARI_LAC,2026,1,LAC,ARI,9.5,0.55340815,home,,,0,0
2026_01_ATL_PIT,2026,1,PIT,ATL,3.5,0.4647144,away,,,0,0
2026_01_BAL_IND,2026,1,IND,BAL,-3.5,0.5408613,home,,,0,0
2026_01_BUF_HOU,2026,1,HOU,BUF,-1.5,0.44905454,away,,,0,0
2026_01_CHI_CAR,2026,1,CAR,CHI,-3.0,0.46632403,away,,,0,0
2026_01_CLE_JAX,2026,1,JAX,CLE,8.5,0.5208818,home,,,0,0
2026_01_DAL_NYG,2026,1,NYG,DAL,-3.0,0.5564455,home,,,0,0
2026_01_DEN_KC,2026,1,KC,DEN,2.5,0.43769187,away,,,0,0
2026_01_GB_MIN,2026,1,MIN,GB,1.5,0.56854695,home,,,0,0
2026_01_MIA_LV,2026,1,LV,MIA,3.5,0.531048,home,,,0,0
2026_01_NE_SEA,2026,1,SEA,NE,3.0,0.40978685,away,,,0,0
2026_01_NO_DET,2026,1,DET,NO,7.0,0.43918532,away,,,0,0
2026_01_NYJ_TEN,2026,1,TEN,NYJ,1.5,0.4592776,away,,,0,0
2026_01_SF_LA,2026,1,LA,SF,3.5,0.41639537,away,,,0,0
2026_01_TB_CIN,2026,1,CIN,TB,3.5,0.45556778,away,,,0,0
2026_01_WAS_PHI,2026,1,PHI,WAS,5.5,0.3407245,away,,,0,0
