test_season,W,L,P,hit_rate,n_games,model_log_loss,baseline_hit_rate
2019,127,119,10,0.516260162601626,246,0.7337207794189453,0.43089430894308944
2020,128,128,0,0.5,256,0.723023533821106,0.49609375
2021,132,136,4,0.4925373134328358,268,0.7252219915390015,0.48134328358208955
2022,124,137,10,0.47509578544061304,261,0.7328047156333923,0.4942528735632184
2023,119,139,14,0.46124031007751937,258,0.7482634782791138,0.49612403100775193
2024,144,124,4,0.5373134328358209,268,0.7151795029640198,0.5111940298507462
2025,135,136,1,0.4981549815498155,271,0.7423113584518433,0.4981549815498155
