test_season,W,L,P,hit_rate,n_games,model_log_loss,baseline_hit_rate
2019,163,91,2,0.6417322834645669,254,0.6512244985820929,0.547244094488189
2020,183,68,5,0.7290836653386454,251,0.5616065805841058,0.5378486055776892
2021,173,92,7,0.6528301886792452,265,0.5854389680699722,0.5433962264150943
2022,183,84,4,0.6853932584269663,267,0.6164908362333097,0.5655430711610487
2023,174,94,4,0.6492537313432836,268,0.6294133422698529,0.6007462686567164
2024,207,65,0,0.7610294117647058,272,0.5305541550631074,0.5588235294117647
