family,mean_abs_contribution_16,pushed_toward_pick_frac_16,n_games_16,pushed_toward_pick_frac_13,n_games_13
OL pass protection,0.11892039931990439,0.5,16,0.5384615384615384,13
QB,0.10906980286017642,0.6875,16,0.7692307692307693,13
defence run,0.08836952936871967,0.5625,16,0.6923076923076923,13
defence pass rush,0.08226965177891543,0.625,16,0.6153846153846154,13
coverage/defence other,0.05917779180617799,0.8125,16,0.8461538461538461,13
OL run blocking,0.05868740920232085,0.5,16,0.38461538461538464,13
form,0.04869235747901257,0.5625,16,0.5384615384615384,13
weather,0.040788196260109544,0.5,16,0.46153846153846156,13
rest,0.031849793282162864,0.625,16,0.6923076923076923,13
run game,0.028575780022947583,0.625,16,0.6923076923076923,13
record/margin,0.014431128060095944,0.3125,16,0.23076923076923078,13
venue/context,0.0039761565894878,0.4375,16,0.46153846153846156,13
