family,n_games,corr_with_closing_spread
OL run blocking,16,-0.53218243161704
defence run,16,-0.46735989244609805
weather,16,0.4142239168237999
OL pass protection,16,0.3239775411332466
form,16,-0.30298432337133063
coverage/defence other,16,-0.24271525667288923
run game,16,0.17283053803454293
rest,16,-0.13904814909966162
record/margin,16,0.09694071605633593
venue/context,16,0.05854783904473092
defence pass rush,16,0.012959344840487419
QB,16,0.010920850210615285
